Genome,Accession,RefSeq type,Source information,Number of segments,Genome length,Number of proteins,Genome Neighbors,Host,Date completed,Date updated,realm,Filename
Ribes americanum virus A,NC_040797,complete,isolate:Oregon,-,7106,5,-,land plants,02/12/2019,09/12/2019,Riboviria,Ribes_americanum_virus_A
Ribgrass mosaic virus,NC_002792,complete,strain:Kons.1105; isolate:R14,-,6311,4,7,land plants,05/16/2001,08/13/2018,Riboviria,Ribgrass_mosaic_virus
Rice stripe mosaic virus,NC_040786,complete,isolate:GD-LD,-,12774,7,12,land plants,02/12/2019,09/12/2019,Riboviria,Rice_stripe_mosaic_virus
Rice tungro bacilliform virus,NC_001914,complete,isolate:Philippines,-,8002,4,13,land plants,06/04/1991,08/13/2018,Riboviria,Rice_tungro_bacilliform_virus
Rice tungro spherical virus,NC_001632,complete,-,-,12226,1,5,land plants,08/03/1993,08/13/2018,Riboviria,Rice_tungro_spherical_virus
Rice virus A,NC_035452,complete,isolate:SK,-,4832,5,-,land plants,08/24/2017,08/13/2018,Riboviria,Rice_virus_A
Rice yellow mottle virus,NC_001575,complete,isolate:CI4,-,4449,5,68,land plants,09/01/1993,08/13/2018,Riboviria,Rice_yellow_mottle_virus
Rosa rugosa leaf distortion virus,NC_020415,complete,isolate:MN-3,-,3971,6,2,land plants,02/28/2013,08/13/2018,Riboviria,Rosa_rugosa_leaf_distortion_virus
Rose leaf rosette-associated virus,NC_024906,complete,type:Plant virus; isolate:RLRaV-CWR.1,-,17656,13,-,land plants,09/23/2014,08/13/2018,Riboviria,Rose_leaf_rosette-associated_virus
Rose spring dwarf-associated virus,NC_010806,complete,isolate:California,-,5808,9,1,land plants,06/05/2008,08/13/2018,Riboviria,Rose_spring_dwarf-associated_virus
Rose yellow mosaic virus,NC_019031,complete,isolate:Minnesota,-,9508,1,-,land plants,10/31/2012,08/13/2018,Riboviria,Rose_yellow_mosaic_virus
Rose yellow vein virus,NC_020999,complete,strain:RYVV-MN1,-,9314,8,-,land plants,04/15/2013,08/13/2018,Riboviria,Rose_yellow_vein_virus
Rottboellia yellow mottle virus,NC_027198,complete,culture-collection:DSM:PV-0496,-,4194,5,-,land plants,06/06/2015,08/13/2018,Riboviria,Rottboellia_yellow_mottle_virus
Rubber viroid India/2009,NC_014129,complete,isolate:KER2,-,361,-,5,land plants,05/06/2010,08/13/2018,Riboviria,Rubber_viroid_India2009
Rubus canadensis virus 1,NC_019025,complete,isolate:BM-01,-,8328,5,-,land plants,10/29/2012,08/13/2018,Riboviria,Rubus_canadensis_virus_1
Rubus yellow net virus,NC_026238,complete,strain:Baumforth's Seedling A,-,7836,5,3,land plants,01/23/2015,08/13/2018,Riboviria,Rubus_yellow_net_virus
Rudbeckia flower distortion virus,NC_011920,complete,isolate:Minnesota,-,8222,7,-,land plants,01/21/2009,08/13/2018,Riboviria,Rudbeckia_flower_distortion_virus
Ryegrass mosaic virus,NC_001814,complete,-,-,9535,2,3,land plants,05/31/1997,08/13/2018,Riboviria,Ryegrass_mosaic_virus
Ryegrass mottle virus,NC_003747,complete,isolate:MAFF. No. 307043,-,4212,5,3,land plants,10/03/2000,08/13/2018,Riboviria,Ryegrass_mottle_virus
Saffron latent virus,NC_036802,complete,isolate:Ir-Kh1,-,9693,2,-,land plants,02/06/2018,08/13/2018,Riboviria,Saffron_latent_virus
Saguaro cactus virus,NC_001780,complete,-,-,3879,8,1,land plants,11/27/1996,08/13/2018,Riboviria,Saguaro_cactus_virus
Salvia divinorum RNA virus 1,NC_040689,complete,isolate:Sdiv,-,9214,4,-,land plants,02/12/2019,09/12/2019,Riboviria,Salvia_divinorum_RNA_virus_1
Salvia hispanica RNA virus 1,NC_040690,complete,isolate:Chia-AV1,-,3406,2,-,land plants,02/12/2019,09/12/2019,Riboviria,Salvia_hispanica_RNA_virus_1
Sarcochilus virus Y,NC_043163,incomplete,-,-,1685,1,-,land plants,06/28/2019,06/28/2019,Riboviria,Sarcochilus_virus_Y
Satellite maize white line mosaic virus,NC_003631,complete,-,-,1168,1,-,land plants,08/03/1993,08/13/2018,Riboviria,Satellite_maize_white_line_mosaic_virus
Satellite tobacco mosaic virus,NC_001557,complete,-,-,1239,1,1,land plants,08/03/1993,08/13/2018,Riboviria,Satellite_tobacco_mosaic_virus
Satellite tobacco necrosis virus 2,NC_038701,incomplete,strain:STNV-2,-,1245,1,-,land plants,08/24/2018,08/24/2018,Riboviria,Satellite_tobacco_necrosis_virus_2
Satellite tobacco necrosis virus C,NC_043430,complete,strain:C,-,1221,1,-,land plants,02/03/1998,06/28/2019,Riboviria,Satellite_tobacco_necrosis_virus_C
Sauropus yellowing virus,NC_025837,complete,isolate:THSP1-B,-,5820,6,-,land plants,12/10/2014,08/13/2018,Riboviria,Sauropus_yellowing_virus
Scallion mosaic virus,NC_003399,complete,-,-,9324,2,63,land plants,02/06/2002,08/13/2018,Riboviria,Scallion_mosaic_virus
Schefflera ringspot virus,NC_055238,complete,isolate:Minnesota,-,555,1,-,land plants,06/01/2021,06/07/2021,Riboviria,Schefflera_ringspot_virus
Schlumbergera virus X,NC_011659,complete,strain:K11,-,6633,5,2,land plants,12/12/2008,08/13/2018,Riboviria,Schlumbergera_virus_X
Senna mosaic virus,NC_030746,complete,isolate:Brazilian,-,6775,5,-,land plants,08/16/2016,08/13/2018,Riboviria,Senna_mosaic_virus
Shallot virus X,NC_003795,complete,-,-,8832,6,5,land plants,06/12/1993,08/13/2018,Riboviria,Shallot_virus_X
Shallot yellow stripe virus,NC_007433,complete,isolate:ZQ2,-,10429,3,2,land plants,09/28/2005,08/13/2018,Riboviria,Shallot_yellow_stripe_virus
Solanum nodiflorum mottle virus,NC_033706,complete,culture-collection:ATCC:PV-491,-,4297,4,-,land plants,02/16/2017,08/13/2018,Riboviria,Solanum_nodiflorum_mottle_virus
Sonchus yellow net nucleorhabdovirus,NC_001615,complete,-,-,13720,6,1,land plants,05/09/1994,08/13/2018,Riboviria,Sonchus_yellow_net_nucleorhabdovirus
Sorghum mosaic virus,NC_004035,complete,isolate:Xiaoshan,-,9624,2,20,land plants,02/06/2002,08/13/2018,Riboviria,Sorghum_mosaic_virus
Southern bean mosaic virus,NC_004060,complete,isolate:Sao Paulo,-,4132,5,12,land plants,05/09/1998,08/13/2018,Riboviria,Southern_bean_mosaic_virus
Southern cowpea mosaic virus,NC_001625,complete,-,-,4193,5,-,land plants,08/04/1993,08/13/2018,Riboviria,Southern_cowpea_mosaic_virus
Southern tomato virus,NC_011591,complete,isolate:Mexico-1,-,3437,2,52,land plants,11/19/2008,08/13/2018,Riboviria,Southern_tomato_virus
Sowbane mosaic virus,NC_011187,complete,-,-,3983,5,2,land plants,09/01/2008,08/13/2018,Riboviria,Sowbane_mosaic_virus
Soybean Putnam virus,NC_018505,complete,-,-,7757,6,-,land plants,08/28/2012,08/13/2018,Riboviria,Soybean_Putnam_virus
Soybean chlorotic mottle virus,NC_001739,complete,-,-,8178,9,2,land plants,03/02/1990,08/13/2018,Riboviria,Soybean_chlorotic_mottle_virus
Soybean dwarf virus,NC_003056,complete,strain:YS; isolate:M93-1,-,5853,5,31,land plants,08/11/2001,08/13/2018,Riboviria,Soybean_dwarf_virus
Soybean leaf-associated mycoflexivirus 1,NC_038979,incomplete,isolate:SaNSRV1-1,-,8327,4,-,land plants,08/24/2018,08/24/2018,Riboviria,Soybean_leaf-associated_mycoflexivirus_1
Soybean mosaic virus,NC_002634,complete,strain:N,-,9588,2,126,land plants,04/29/1993,08/13/2018,Riboviria,Soybean_mosaic_virus
Soybean yellow common mosaic virus,NC_016033,complete,-,-,4152,5,10,land plants,09/26/2011,08/13/2018,Riboviria,Soybean_yellow_common_mosaic_virus
Soybean yellow mottle mosaic virus,NC_011643,complete,-,-,4009,5,15,land plants,12/09/2008,08/13/2018,Riboviria,Soybean_yellow_mottle_mosaic_virus
Spartina mottle virus,NC_043177,incomplete,-,-,1635,1,3,land plants,06/28/2019,06/28/2019,Riboviria,Spartina_mottle_virus
Spinach amalgavirus 1,NC_035070,complete,isolate:SRP059420,-,3420,2,-,land plants,06/15/2017,06/04/2019,Riboviria,Spinach_amalgavirus_1
Spiranthes mosaic virus 3,NC_043164,incomplete,-,-,1560,1,-,land plants,06/28/2019,06/28/2019,Riboviria,Spiranthes_mosaic_virus_3
Squash vein yellowing virus,NC_010521,complete,isolate:Florida,-,9836,2,5,land plants,03/25/2008,08/13/2018,Riboviria,Squash_vein_yellowing_virus
Strawberry chlorotic fleck-associated virus,NC_008366,complete,-,-,17039,10,1,land plants,09/22/2006,08/13/2018,Riboviria,Strawberry_chlorotic_fleck-associated_virus
Strawberry crinkle virus,NC_043064,incomplete,isolate:HB-A1,-,1638,1,-,land plants,06/28/2019,06/28/2019,Riboviria,Strawberry_crinkle_virus
Strawberry mild yellow edge virus,NC_003794,complete,isolate:MY-18,-,5966,6,11,land plants,04/29/1993,08/13/2018,Riboviria,Strawberry_mild_yellow_edge_virus
Strawberry polerovirus 1,NC_025435,complete,isolate:AB5301,-,5986,6,4,land plants,11/25/2014,08/13/2018,Riboviria,Strawberry_polerovirus_1
Strawberry vein banding virus,NC_001725,complete,-,-,7876,6,20,land plants,06/01/1996,08/13/2018,Riboviria,Strawberry_vein_banding_virus
Suakwa aphid-borne yellows virus,NC_018571,complete,isolate:SABYV-TW19,-,5843,7,1,land plants,09/10/2012,08/13/2018,Riboviria,Suakwa_aphid-borne_yellows_virus
Subterranean clover mottle virus,NC_004346,complete,strain:p23,-,4258,5,4,land plants,10/22/2002,08/13/2018,Riboviria,Subterranean_clover_mottle_virus
Sudan watermelon mosaic virus,NC_035459,complete,isolate:Su94-54,-,10232,1,-,land plants,08/24/2017,08/13/2018,Riboviria,Sudan_watermelon_mosaic_virus
Sugar beet cyst nematode virus 1,NC_040790,complete,isolate:TN,-,9503,1,-,land plants,02/12/2019,09/12/2019,Riboviria,Sugar_beet_cyst_nematode_virus_1
Sugarcane bacilliform Guadeloupe A virus,NC_038382,complete,isolate:Guadeloupe,-,7444,3,-,land plants,08/24/2018,08/24/2018,Riboviria,Sugarcane_bacilliform_Guadeloupe_A_virus
Sugarcane bacilliform Guadeloupe D virus,NC_013455,complete,isolate:BataviaD,-,7317,3,-,land plants,11/04/2009,08/13/2018,Riboviria,Sugarcane_bacilliform_Guadeloupe_D_virus
Sugarcane mosaic virus,NC_003398,complete,-,-,9596,2,141,land plants,02/06/2002,08/13/2018,Riboviria,Sugarcane_mosaic_virus
Sugarcane streak mosaic virus,NC_014037,complete,isolate:PAK,-,9782,2,14,land plants,04/16/2010,08/13/2018,Riboviria,Sugarcane_streak_mosaic_virus
Sugarcane yellow leaf virus,NC_000874,complete,strain:A,-,5899,6,44,land plants,07/28/1999,08/13/2018,Riboviria,Sugarcane_yellow_leaf_virus
Sunflower chlorotic mottle virus,NC_014038,complete,strain:Common (C),-,9965,2,3,land plants,04/20/2010,08/13/2018,Riboviria,Sunflower_chlorotic_mottle_virus
Sunflower mild mosaic virus,NC_021065,complete,isolate:Entre Rios,-,9718,1,-,land plants,04/22/2013,08/13/2018,Riboviria,Sunflower_mild_mosaic_virus
Sunflower ring blotch virus,NC_034208,complete,isolate:Chaco,-,9555,1,-,land plants,03/14/2017,08/25/2018,Riboviria,Sunflower_ring_blotch_virus
Sweet potato C6 virus,NC_018448,complete,isolate:Sosa 29,-,8857,5,-,land plants,08/20/2012,08/13/2018,Riboviria,Sweet_potato_C6_virus
Sweet potato badnavirus B,NC_012728,complete,isolate:Huachano1,-,7961,5,2,land plants,05/28/2009,08/13/2018,Riboviria,Sweet_potato_badnavirus_B
Sweet potato chlorotic fleck virus,NC_006550,complete,-,-,9104,6,13,land plants,12/17/2004,08/13/2018,Riboviria,Sweet_potato_chlorotic_fleck_virus
Sweet potato collusive virus,NC_015328,complete,isolate:Mad1,-,7723,4,1,land plants,04/07/2011,08/13/2018,Riboviria,Sweet_potato_collusive_virus
Sweet potato feathery mottle virus,NC_001841,complete,strain:S,-,10820,3,131,land plants,10/13/1997,08/13/2018,Riboviria,Sweet_potato_feathery_mottle_virus
Sweet potato latent virus,NC_020896,complete,-,-,10081,1,15,land plants,04/03/2013,08/13/2018,Riboviria,Sweet_potato_latent_virus
Sweet potato mild mottle virus,NC_003797,complete,-,-,10818,2,1,land plants,01/08/1997,08/13/2018,Riboviria,Sweet_potato_mild_mottle_virus
Sweet potato pakakuy virus,NC_015655,complete,isolate:Huachano1,-,8082,5,1,land plants,06/15/2011,08/13/2018,Riboviria,Sweet_potato_pakakuy_virus
Sweet potato vein clearing virus,NC_015228,complete,strain:Dom1,-,8837,9,1,land plants,03/21/2011,08/13/2018,Riboviria,Sweet_potato_vein_clearing_virus
Sweet potato virus 2,NC_017970,complete,isolate:GWB-2,-,10731,2,17,land plants,05/29/2012,08/13/2018,Riboviria,Sweet_potato_virus_2
Sweet potato virus C,NC_014742,complete,strain:C; isolate:C1,-,10820,2,73,land plants,12/01/2010,08/13/2018,Riboviria,Sweet_potato_virus_C
Sweet potato virus G,NC_018093,complete,isolate:Jesus Maria,-,10798,3,64,land plants,06/29/2012,08/13/2018,Riboviria,Sweet_potato_virus_G
Switchgrass mosaic virus,NC_015522,complete,isolate:S1,-,6423,3,-,land plants,07/03/2011,08/13/2018,Riboviria,Switchgrass_mosaic_virus
Tall oatgrass mosaic virus,NC_022745,complete,isolate:Benesov,-,9359,1,-,land plants,11/06/2013,08/13/2018,Riboviria,Tall_oatgrass_mosaic_virus
Tamarillo leaf malformation virus,NC_026615,complete,isolate:A,-,9720,1,1,land plants,03/06/2015,08/13/2018,Riboviria,Tamarillo_leaf_malformation_virus
Tamus red mosaic virus,NC_016003,complete,isolate:IT; culture-collection:DSM:PV-0397,-,6495,5,-,land plants,09/14/2011,08/13/2018,Riboviria,Tamus_red_mosaic_virus
Taro bacilliform CH virus,NC_026819,complete,isolate:TaBCHV-1,-,7641,6,9,land plants,04/16/2015,08/13/2018,Riboviria,Taro_bacilliform_CH_virus
Taro bacilliform virus,NC_004450,complete,-,-,7458,3,7,land plants,12/18/2002,08/13/2018,Riboviria,Taro_bacilliform_virus
Taro vein chlorosis virus,NC_006942,complete,-,-,12020,6,-,land plants,04/07/2005,01/31/2022,Riboviria,Taro_vein_chlorosis_virus
Telosma mosaic virus,NC_009742,complete,isolate:Hanoi,-,9689,2,3,land plants,08/27/2007,08/13/2018,Riboviria,Telosma_mosaic_virus
Thin paspalum asymptomatic virus,NC_021705,complete,strain:2005; isolate:05TGP00369,-,4195,6,1,land plants,07/08/2013,08/13/2018,Riboviria,Thin_paspalum_asymptomatic_virus
Thunberg fritillary mosaic virus,NC_007180,complete,isolate:Ningbo,-,9723,2,1,land plants,06/27/2005,08/13/2018,Riboviria,Thunberg_fritillary_mosaic_virus
Tobacco bushy top virus,NC_004366,complete,isolate:Ch,-,4152,4,16,land plants,11/14/2002,08/13/2018,Riboviria,Tobacco_bushy_top_virus
Tobacco etch virus,NC_001555,complete,-,-,9494,2,14,land plants,08/03/1993,08/13/2018,Riboviria,Tobacco_etch_virus
Tobacco mild green mosaic virus,NC_001556,complete,-,-,6355,4,24,land plants,08/03/1993,08/13/2018,Riboviria,Tobacco_mild_green_mosaic_virus
Tobacco mosaic virus,NC_001367,complete,-,-,6395,6,89,land plants,07/13/1983,08/13/2018,Riboviria,Tobacco_mosaic_virus
Tobacco mosqueado virus,NC_030118,complete,isolate:RS-01,-,9896,1,-,land plants,05/16/2016,08/13/2018,Riboviria,Tobacco_mosqueado_virus
Tobacco necrosis virus A,NC_001777,complete,isolate:TNV-A-FM1B,-,3684,5,3,land plants,07/26/1993,08/13/2018,Riboviria,Tobacco_necrosis_virus_A
Tobacco necrosis virus D,NC_003487,complete,strain:D; isolate:Hungarian,-,3762,6,3,land plants,07/02/1997,08/13/2018,Riboviria,Tobacco_necrosis_virus_D
Tobacco vein banding mosaic virus,NC_009994,complete,isolate:YND,-,9570,2,19,land plants,11/20/2007,08/13/2018,Riboviria,Tobacco_vein_banding_mosaic_virus
Tobacco vein clearing virus,NC_003378,complete,-,-,7767,4,-,land plants,11/15/1999,08/13/2018,Riboviria,Tobacco_vein_clearing_virus
Tobacco vein distorting virus,NC_010732,complete,isolate:Longlin,-,5920,7,3,land plants,05/21/2008,08/13/2018,Riboviria,Tobacco_vein_distorting_virus
Tobacco vein mottling virus,NC_001768,complete,-,-,9475,2,2,land plants,03/09/1987,08/13/2018,Riboviria,Tobacco_vein_mottling_virus
Tobacco virus 1,NC_027712,complete,isolate:AnHui,-,15395,9,-,land plants,08/18/2015,08/13/2018,Riboviria,Tobacco_virus_1
Tobacco virus 2,NC_034265,complete,isolate:TV2,-,5979,6,-,land plants,04/10/2017,08/13/2018,Riboviria,Tobacco_virus_2
Tomato blistering mosaic virus,NC_021851,complete,isolate:SC50,-,6277,3,2,land plants,07/23/2013,08/13/2018,Riboviria,Tomato_blistering_mosaic_virus
Tomato brown rugose fruit virus,NC_028478,complete,isolate:Tom1-Jo,-,6393,4,149,land plants,12/03/2015,08/13/2018,Riboviria,Tomato_brown_rugose_fruit_virus
Tomato bushy stunt virus,NC_001554,complete,strain:cherry,-,4776,5,8,land plants,08/03/1993,08/13/2018,Riboviria,Tomato_bushy_stunt_virus
Tomato mild mottle virus,NC_038920,complete,-,-,9283,1,-,land plants,09/29/2011,08/24/2018,Riboviria,Tomato_mild_mottle_virus
Tomato mosaic virus,NC_002692,complete,isolate:Queensland,-,6383,4,55,land plants,03/12/2001,08/13/2018,Riboviria,Tomato_mosaic_virus
Tomato mottle mosaic virus,NC_022230,complete,isolate:MX5,-,6398,4,18,land plants,09/03/2013,08/13/2018,Riboviria,Tomato_mottle_mosaic_virus
Tomato necrotic stunt virus,NC_017824,complete,strain:MX9354,-,10057,2,1,land plants,05/04/2012,08/13/2018,Riboviria,Tomato_necrotic_stunt_virus
Tomato yellow mottle-associated virus,NC_034240,complete,-,-,13389,7,5,land plants,04/05/2017,08/13/2018,Riboviria,Tomato_yellow_mottle-associated_virus
Tradescantia mild mosaic virus,NC_043166,incomplete,isolate:IFA195,-,1514,1,-,land plants,06/28/2019,06/28/2019,Riboviria,Tradescantia_mild_mosaic_virus
Trailing lespedeza virus 1,NC_015227,complete,isolate:06TGP01091,-,3929,5,-,land plants,03/21/2011,08/13/2018,Riboviria,Trailing_lespedeza_virus_1
Triticum mosaic virus,NC_012799,complete,isolate:U06-123,-,10282,2,13,land plants,06/11/2009,08/13/2018,Riboviria,Triticum_mosaic_virus
Tropical soda apple mosaic virus,NC_030229,complete,isolate:Okeechobee,-,6350,4,-,land plants,05/31/2016,08/13/2018,Riboviria,Tropical_soda_apple_mosaic_virus
Tuberose mild mosaic virus,NC_043167,incomplete,-,-,1934,1,2,land plants,06/28/2019,06/28/2019,Riboviria,Tuberose_mild_mosaic_virus
Tuberose mild mottle virus,NC_043424,incomplete,isolate:Hangzhou,-,4607,1,1,land plants,06/17/2004,06/28/2019,Riboviria,Tuberose_mild_mottle_virus
Tulip breaking virus,NC_043168,incomplete,isolate:Texas Flame,-,3414,1,-,land plants,06/28/2019,06/28/2019,Riboviria,Tulip_breaking_virus
Tulip mosaic virus,NC_043425,incomplete,-,-,1479,1,-,land plants,07/25/1994,06/28/2019,Riboviria,Tulip_mosaic_virus
Tulip virus X,NC_004322,complete,strain:J,-,6056,5,4,land plants,09/26/2002,08/13/2018,Riboviria,Tulip_virus_X
Turnip crinkle virus,NC_003821,complete,-,-,4054,5,3,land plants,08/03/1993,08/13/2018,Riboviria,Turnip_crinkle_virus
Turnip mosaic virus,NC_002509,complete,-,-,9835,2,836,land plants,08/01/2000,08/13/2018,Riboviria,Turnip_mosaic_virus
Turnip rosette virus,NC_004553,complete,isolate:TRoV-1,-,4086,5,1,land plants,01/30/2003,08/13/2018,Riboviria,Turnip_rosette_virus
Turnip vein-clearing virus,NC_001873,complete,strain:OSU,-,6311,4,6,land plants,11/11/1993,08/13/2018,Riboviria,Turnip_vein-clearing_virus
Turnip yellow mosaic virus,NC_004063,complete,-,-,6318,3,16,land plants,11/22/1988,08/13/2018,Riboviria,Turnip_yellow_mosaic_virus
Turtle grass virus X,NC_040644,complete,isolate:TB 2016,-,6278,5,-,land plants,02/12/2019,09/12/2019,Riboviria,Turtle_grass_virus_X
Twisted-stalk chlorotic streak virus,NC_043169,incomplete,isolate:Denali 2001,-,1625,1,-,land plants,06/28/2019,06/28/2019,Riboviria,Twisted-stalk_chlorotic_streak_virus
Ugandan cassava brown streak virus,NC_014791,complete,strain:UG[Uganda:Namulonge:2004],-,9070,2,22,land plants,12/13/2010,08/13/2018,Riboviria,Ugandan_cassava_brown_streak_virus
Vaccinivirus cadovaccinii,NC_028462,complete,isolate:WA,-,9850,1,-,land plants,11/24/2015,08/13/2018,Riboviria,Vaccinivirus_cadovaccinii
Vallota mosaic virus,NC_043170,incomplete,-,-,1612,1,1,land plants,06/28/2019,06/28/2019,Riboviria,Vallota_mosaic_virus
Vanilla distortion mosaic virus,NC_025250,complete,isolate:VDMV-Cor,-,9553,1,-,land plants,10/15/2014,08/13/2018,Riboviria,Vanilla_distortion_mosaic_virus
Vanilla latent virus,NC_035204,complete,isolate:CRV2148ALL,-,7462,6,-,land plants,07/14/2017,08/13/2018,Riboviria,Vanilla_latent_virus
Vanilla virus X,NC_035205,complete,isolate:CRV2148POT,-,6295,5,-,land plants,07/14/2017,08/13/2018,Riboviria,Vanilla_virus_X
Velvet tobacco mottle virus,NC_014509,complete,strain:K1,-,4247,5,1,land plants,09/21/2010,08/13/2018,Riboviria,Velvet_tobacco_mottle_virus
Verbena latent virus,NC_043085,incomplete,isolate:NZ,-,560,2,-,land plants,06/28/2019,06/28/2019,Riboviria,Verbena_latent_virus
Verbena virus Y,NC_010735,complete,isolate:Michigan,-,9742,2,-,land plants,05/21/2008,08/13/2018,Riboviria,Verbena_virus_Y
Vicia cryptic virus M,NC_043095,incomplete,isolate:M,-,3434,-,1,land plants,06/28/2019,06/28/2019,Riboviria,Vicia_cryptic_virus_M
Vicia faba alphaendornavirus,NC_007648,complete,-,-,17635,1,-,land plants,06/02/1998,08/13/2018,Riboviria,Vicia_faba_alphaendornavirus
Wasabi mottle virus,NC_003355,complete,strain:wasabi; isolate:Shizuoka,-,6298,4,4,land plants,01/05/2002,08/13/2018,Riboviria,Wasabi_mottle_virus
Water chestnut soymovirus 1,NC_030205,complete,isolate:TuanFeng,-,7535,9,-,land plants,05/23/2016,08/13/2018,Riboviria,Water_chestnut_soymovirus_1
Watermelon mosaic virus,NC_006262,complete,strain:WMV-Fr,-,10035,2,142,land plants,09/09/2004,08/13/2018,Riboviria,Watermelon_mosaic_virus
Watermelon virus A,NC_034377,complete,isolate:KF-15,-,8372,4,1,land plants,04/21/2017,08/13/2018,Riboviria,Watermelon_virus_A
Wheat leaf yellowing-associated virus,NC_035451,complete,isolate:JN-U3; isolate:leaf,-,5772,7,1,land plants,08/24/2017,08/13/2018,Riboviria,Wheat_leaf_yellowing-associated_virus
Wheat streak mosaic virus,NC_001886,complete,-,-,9384,2,61,land plants,04/15/1998,08/13/2018,Riboviria,Wheat_streak_mosaic_virus
Wheat yellow dwarf virus-GPV,NC_012931,complete,-,-,5673,7,-,land plants,07/07/2009,08/13/2018,Riboviria,Wheat_yellow_dwarf_virus-GPV
Wheat yellow striate virus,NC_055484,complete,isolate:SX-HC,-,14486,7,-,land plants,06/01/2021,06/07/2021,Riboviria,Wheat_yellow_striate_virus
White clover mosaic virus,NC_003820,complete,-,-,5845,5,11,land plants,08/10/1988,08/13/2018,Riboviria,White_clover_mosaic_virus
White clover mottle virus,NC_031747,complete,strain:CD,-,6205,6,-,land plants,11/04/2016,08/13/2018,Riboviria,White_clover_mottle_virus
Wild melon vein banding virus,NC_035458,complete,isolate:Su03-07,-,10152,1,-,land plants,08/24/2017,08/13/2018,Riboviria,Wild_melon_vein_banding_virus
Wild onion symptomless virus,NC_030391,complete,isolate:TUR256-1,-,9369,1,1,land plants,06/30/2016,08/13/2018,Riboviria,Wild_onion_symptomless_virus
Wild potato mosaic virus,NC_004426,complete,isolate:Type Isolate,-,9878,2,6,land plants,11/13/2002,08/13/2018,Riboviria,Wild_potato_mosaic_virus
Wild tomato mosaic virus,NC_009744,complete,isolate:Laichau,-,9659,2,4,land plants,08/27/2007,08/13/2018,Riboviria,Wild_tomato_mosaic_virus
Winged bean alphaendornavirus 1,NC_031336,complete,-,-,14623,1,-,land plants,10/07/2016,08/13/2018,Riboviria,Winged_bean_alphaendornavirus_1
Wisteria badnavirus 1,NC_034252,complete,isolate:ZT-1,-,7326,4,-,land plants,04/05/2017,08/13/2018,Riboviria,Wisteria_badnavirus_1
Wisteria vein mosaic virus,NC_007216,complete,isolate:Beijing,-,9695,2,3,land plants,08/02/2005,08/13/2018,Riboviria,Wisteria_vein_mosaic_virus
Yacon necrotic mottle virus,NC_026472,complete,isolate:YV1,-,7661,4,-,land plants,02/17/2015,08/13/2018,Riboviria,Yacon_necrotic_mottle_virus
Yacon virus A,NC_030657,complete,isolate:4Y_2,-,6400,2,-,land plants,07/24/2016,08/13/2018,Riboviria,Yacon_virus_A
Yam chlorotic necrosis virus,NC_055491,complete,isolate:YCNV-YJish,-,8261,1,-,land plants,06/01/2021,06/07/2021,Riboviria,Yam_chlorotic_necrosis_virus
Yam chlorotic necrotic mosaic virus,NC_038561,complete,isolate:YS,-,8208,1,-,land plants,08/24/2018,08/24/2018,Riboviria,Yam_chlorotic_necrotic_mosaic_virus
Yam latent virus,NC_026248,complete,isolate:SG1,-,8531,6,-,land plants,05/04/2015,08/13/2018,Riboviria,Yam_latent_virus
Yam mild mosaic virus,NC_019412,complete,-,-,9538,2,11,land plants,11/13/2012,08/13/2018,Riboviria,Yam_mild_mosaic_virus
Yam mosaic virus,NC_004752,complete,strain:Ivory Coast,-,9608,2,6,land plants,04/28/2003,08/13/2018,Riboviria,Yam_mosaic_virus
Yam spherical virus,NC_022895,complete,culture-collection:DSMZ:PV-0517,-,4464,5,1,land plants,11/26/2013,08/13/2018,Riboviria,Yam_spherical_virus
Yam virus X,NC_025252,complete,isolate:T551,-,6158,5,-,land plants,10/15/2014,08/13/2018,Riboviria,Yam_virus_X
Yambean mosaic virus,NC_016441,complete,isolate:SR,-,9649,2,1,land plants,12/13/2011,08/13/2018,Riboviria,Yambean_mosaic_virus
Yellow oat grass mosaic virus,NC_024471,complete,isolate:YOgMV-Sb,-,9292,1,1,land plants,07/14/2014,08/13/2018,Riboviria,Yellow_oat_grass_mosaic_virus
Yellow tailflower mild mottle virus,NC_022801,complete,isolate:Cervantes,-,6379,4,2,land plants,11/14/2013,08/13/2018,Riboviria,Yellow_tailflower_mild_mottle_virus
Yerba mate alphaendornavirus,NC_024455,complete,strain:INTA,-,13954,1,-,land plants,06/27/2014,08/13/2018,Riboviria,Yerba_mate_alphaendornavirus
Yerba mate chlorosis-associated virus,NC_055505,complete,isolate:Montecarlo,-,12595,7,-,land plants,06/01/2021,06/07/2021,Riboviria,Yerba_mate_chlorosis-associated_virus
Youcai mosaic virus,NC_004422,complete,-,-,6303,3,22,land plants,11/20/2002,08/13/2018,Riboviria,Youcai_mosaic_virus
Zantedeschia mild mosaic virus,NC_011560,complete,strain:TW,-,9973,2,1,land plants,11/12/2008,08/13/2018,Riboviria,Zantedeschia_mild_mosaic_virus
Zostera marina amalgavirus 1,NC_034614,complete,isolate:SRP035489-1,-,3383,2,-,land plants,05/19/2017,06/04/2019,Riboviria,Zostera_marina_amalgavirus_1
Zostera marina amalgavirus 2,NC_034615,complete,isolate:SRP035489-2,-,3316,2,-,land plants,05/19/2017,06/04/2019,Riboviria,Zostera_marina_amalgavirus_2
